,name,text,time
903,MangMalang1,b'RT @BrightMinho:   555555',Wed Oct 28 16:48:11 +0000 2020
904,Poy_Panchanit,b'RT @BrightMinho:   555555 https://t.co/8E5RepG4sT',Wed Oct 28 16:48:28 +0000 2020
905,surajboddu,"b'RT @HeyMarkL: My iPhone 12 Review \n\nIf you could share the video, that would be incredible! I had a lot of fun making this video. And f'",Wed Oct 28 16:48:29 +0000 2020
906,illperfectt,b'RT @user_error_not_:  #iPhone12 \n555 \n 12pro  12 ',Wed Oct 28 16:48:34 +0000 2020
907,PainQuis,"b'RT @iAm_erica: Hehe that #MagSafe puck really does work with everything... well, almost everything. The EMR tech of the S Pen isnt appreci'",Wed Oct 28 16:48:34 +0000 2020
908,icejys,"b""RT @HubsideFR: [#CONCOURS ] \n\nL'iPhone12 : pas encore sorti, @HubsideFR vous l'offre dj ! \n\nPour participer  RT + Follow \n\nTirage au so""",Wed Oct 28 16:48:44 +0000 2020
909,tech_gilbert,b'iOS 14 a superado a iOS 13 en instalaciones  wooo \n#iOS14 #iPhone12 #AppleEvent #iPhone12Pro #apple #ios13 https://t.co/ndHkDbl0y4',Wed Oct 28 16:48:50 +0000 2020
910,klad_4,b'RT @klad_4:     iphone 12 pro   \n#iPhone12Pro https://t.co/KgKBsCISgK',Wed Oct 28 16:49:05 +0000 2020
911,guchavezb,b'RT @daliadepaz: Hoy hay dosis de tecnologa en el #HeraldoRadio \n y ya estoy lista para contarles cmo me ha ido con el #iPhone12 y 12 Pro',Wed Oct 28 16:49:09 +0000 2020
912,kopinath94,"b""RT @HubsideFR: [#CONCOURS ] \n\nL'iPhone12 : pas encore sorti, @HubsideFR vous l'offre dj ! \n\nPour participer  RT + Follow \n\nTirage au so""",Wed Oct 28 16:49:09 +0000 2020
913,NadiaSumpter,b'Get the Brand New iPhone 12! Visit Our Side for Support...\nhttps://t.co/pLOP0gPbeh\n\n#iPhone12Pro #gift #gifts https://t.co/jKtmMp7fKI',Wed Oct 28 16:49:11 +0000 2020
914,RaqamiTV,b'     12    .\n  .\n  \n #12 #iPhone12 https://t.co/1Na6eQHyaD',Wed Oct 28 16:49:16 +0000 2020
915,1601MKcb,b'RT @BrightMinho:   555555',Wed Oct 28 16:49:31 +0000 2020
916,gaim_15,b'RT @fulwahcoach:   \n\nLets have a new adventure\n\nAzkara 2021\n\n#_ #__ #_',Wed Oct 28 16:49:33 +0000 2020
917,danypolos,b'#BLACKPINKinYourNetflix #TenenteCoimbraTraidor #LightUpTheSkyRos jisoo #iPhone12 amazon  #Bomdia #kpop https://t.co/bCEwCdpRDu',Wed Oct 28 16:49:41 +0000 2020
918,Charles46596262,b'@supcase_atl is giving away an #iPhone12 and this could be the tweet the wins! Enter everyday to increase your chan https://t.co/DSNoOaXcjJ',Wed Oct 28 16:49:43 +0000 2020
919,Dl88S,b'RT @fulwahcoach:   \n\nLets have a new adventure\n\nAzkara 2021\n\n#_ #__ #_',Wed Oct 28 16:49:59 +0000 2020
920,Agility95Zilli,b'RT @jon_prosser: Night mode is witch craft. #iPhone12Pro \n\nReality                          Night mode https://t.co/iGbco0uKkE',Wed Oct 28 16:50:00 +0000 2020
921,noelbellen,b'iPhone 12 Models Might Support Reverse Charging of Future Apple Accessories According to FCC Filing\n\n#IPhone12 https://t.co/VwrhtCD5Ci',Wed Oct 28 16:50:07 +0000 2020
922,H2oNoko,b'RT @Apple0o05: iPhone12Pro\n\n\n\niPhone12Pro\n\n\n&amp;\nLINEhttps://t.co/QPXcCudg9X\n\n\n',Wed Oct 28 16:50:07 +0000 2020
923,Misty_Verse,"b""RT @HubsideFR: [#CONCOURS ] \n\nL'iPhone12 : pas encore sorti, @HubsideFR vous l'offre dj ! \n\nPour participer  RT + Follow \n\nTirage au so""",Wed Oct 28 16:50:10 +0000 2020
924,Tom_Tech_time,"b'RT @theMrMobile: I filmed a weekend in Philadelphia through the lens of the latest iPhone!\n\nJoin me for a blast of a road trip, from contro'",Wed Oct 28 16:50:15 +0000 2020
925,satoutoume1981,b'RT @kitcut_live: #iPhone12 #iPhone12Pro \n\n12\nMagSafeUSB Type-C\n\nApple\n\n@kitcut_live',Wed Oct 28 16:50:22 +0000 2020
926,AppleEducate,b'RT @AppleZein: iPhone 12: Display POCO RESISTENTE ai GRAFFI https://t.co/HUh8FVBPo4\n\n#iPhone #Apple #AppleNews #AppleItalia #AppleUSA #iP',Wed Oct 28 16:50:22 +0000 2020
927,gautier235,b'#iPhone12:\n the charger MagSafe  damages cases leather and cards credit https://t.co/RNJcwHXNn8',Wed Oct 28 16:50:31 +0000 2020
928,teamcarpiovlogs,b'NEW VLOG IS UP!!! \n\nFULL VLOG HERE:\nhttps://t.co/7cHqwPYZhO\n\n#FloatingAppleStore #AppleStoreMBS https://t.co/fNO1P7AjKS',Wed Oct 28 16:50:38 +0000 2020
929,MrKimjeha,"b'RT @theMrMobile: I filmed a weekend in Philadelphia through the lens of the latest iPhone!\n\nJoin me for a blast of a road trip, from contro'",Wed Oct 28 16:50:39 +0000 2020
